"metric","category","clip_id","method","status","reason"
"detail","scrolling","scrolling_04","optical_flow","ok",
"detail","scrolling","scrolling_04","proposed","ok",
"detail","scrolling","scrolling_05","frame_wise","ok",
"detail","scrolling","scrolling_05","optical_flow","ok",
"detail","scrolling","scrolling_05","proposed","ok",
"detail","scrolling","scrolling_06","frame_wise","ok",
"detail","scrolling","scrolling_06","optical_flow","ok",
"detail","scrolling","scrolling_06","proposed","ok",
"detail","scrolling","scrolling_07","frame_wise","ok",
"detail","scrolling","scrolling_07","optical_flow","ok",
"detail","scrolling","scrolling_07","proposed","ok",
"detail","scrolling","scrolling_08","frame_wise","ok",
"detail","scrolling","scrolling_08","optical_flow","ok",
"detail","scrolling","scrolling_08","proposed","ok",
"detail","scrolling","scrolling_09","frame_wise","ok",
"detail","scrolling","scrolling_09","optical_flow","ok",
"detail","scrolling","scrolling_09","proposed","ok",
"detail","scrolling","scrolling_10","frame_wise","ok",
"detail","scrolling","scrolling_10","optical_flow","ok",
"detail","scrolling","scrolling_10","proposed","ok",
"detail","static","static_01","frame_wise","ok",
"detail","static","static_01","optical_flow","ok",
"detail","static","static_01","proposed","ok",
"detail","static","static_02","frame_wise","ok",
"detail","static","static_02","optical_flow","ok",
"detail","static","static_02","proposed","ok",
"detail","static","static_03","frame_wise","ok",
"detail","static","static_03","optical_flow","ok",
"detail","static","static_03","proposed","ok",
"detail","static","static_04","frame_wise","ok",
"detail","static","static_04","optical_flow","ok",
"detail","static","static_04","proposed","ok",
"detail","static","static_05","frame_wise","ok",
"detail","static","static_05","optical_flow","ok",
"detail","static","static_05","proposed","ok",
"detail","static","static_06","frame_wise","ok",
"detail","static","static_06","optical_flow","ok",
"detail","static","static_06","proposed","ok",
"detail","static","static_07","frame_wise","ok",
"detail","static","static_07","optical_flow","ok",
"detail","static","static_07","proposed","ok",
"detail","static","static_08","frame_wise","ok",
"detail","static","static_08","optical_flow","ok",
"detail","static","static_08","proposed","ok",
"detail","static","static_09","frame_wise","ok",
"detail","static","static_09","optical_flow","ok",
"detail","static","static_09","proposed","ok",
"detail","static","static_10","frame_wise","ok",
"detail","static","static_10","optical_flow","ok",
"detail","static","static_10","proposed","ok",
"detail","weak_border","weak_border_01","frame_wise","ok",
"detail","weak_border","weak_border_01","optical_flow","ok",
"detail","weak_border","weak_border_01","proposed","ok",
"detail","weak_border","weak_border_02","frame_wise","ok",
"detail","weak_border","weak_border_02","optical_flow","ok",
"detail","weak_border","weak_border_02","proposed","ok",
"detail","weak_border","weak_border_03","frame_wise","ok",
"detail","weak_border","weak_border_03","optical_flow","ok",
"detail","weak_border","weak_border_03","proposed","ok",
"detail","weak_border","weak_border_04","frame_wise","ok",
"detail","weak_border","weak_border_04","optical_flow","ok",
"detail","weak_border","weak_border_04","proposed","ok",
"detail","weak_border","weak_border_05","frame_wise","ok",
